Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Scooby-Doo! First Frights,Wii,2009,Action,Warner Bros. Interactive Entertainment,0.84,0.04,0,0.07,0.95
Epic Mickey 2: The Power of Two,Wii,2012,Action,Disney Interactive Studios,0.67,0.21,0,0.07,0.95
Mega Man Star Force Dragon / Leo / Pegasus,DS,2006,Action,Capcom,0.39,0,0.53,0.03,0.95
Pro Evolution Soccer 2014,PS3,2013,Action,Konami Digital Entertainment,0.03,0.41,0.51,0,0.95
Yakuza 4,PS3,N/A,Action,Sega,0.15,0.13,0.63,0.05,0.95
Wild ARMs,PS,1996,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95
Tom Clancy's Ghost Recon: Future Soldier,PS3,2012,Shooter,Ubisoft,0.41,0.32,0.09,0.12,0.95
Kessen,PS2,2000,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95
Driver: San Francisco,PS3,2011,Racing,Ubisoft,0.24,0.52,0.01,0.18,0.95
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003,Misc,Konami Digital Entertainment,0.68,0.25,0,0.02,0.95
NCAA Football 2000,PS,1999,Sports,Electronic Arts,0.53,0.36,0,0.06,0.95
Ben 10: Alien Force,DS,2008,Action,Koch Media,0.65,0.22,0,0.09,0.95
Army of Two: The 40th Day,X360,2010,Shooter,Electronic Arts,0.62,0.24,0,0.09,0.95
Sonic & Sega All-Stars Racing,PS3,2010,Racing,Sega,0.36,0.43,0,0.16,0.95
Just Dance 2016,Wii,2015,Misc,Ubisoft,0.41,0.46,0,0.08,0.95
Skylanders: Trap Team,Wii,2014,Action,Activision,0.41,0.46,0,0.08,0.95
Lost Planet 2,PS3,2010,Shooter,Capcom,0.29,0.33,0.2,0.13,0.95
LEGO Pirates of the Caribbean: The Video Game,PS3,2011,Action,Disney Interactive Studios,0.36,0.43,0,0.16,0.95
NBA 2K16,X360,2015,Sports,Take-Two Interactive,0.79,0.05,0,0.1,0.94
Killzone,PS2,2004,Shooter,Sony Computer Entertainment,0.79,0.03,0,0.13,0.94
Colin McRae Rally 04,PS2,2003,Racing,Codemasters,0.01,0.71,0.01,0.21,0.94
Club Penguin: Game Day!,Wii,2010,Sports,Disney Interactive Studios,0.54,0.32,0,0.08,0.94
The SpongeBob SquarePants Movie,GC,2004,Platform,THQ,0.73,0.19,0,0.03,0.94
Star Fox 64 3D,3DS,2011,Shooter,Nintendo,0.48,0.27,0.13,0.06,0.94
Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,1996,Misc,GT Interactive,0.52,0.36,0,0.06,0.94
Castlevania: Lament of Innocence,PS2,2003,Action,Konami Digital Entertainment,0.46,0.36,0,0.12,0.94
Rocksmith 2014,X360,2013,Misc,Ubisoft,0.69,0.16,0,0.09,0.94
Tom Clancy's Splinter Cell: Blacklist,PS3,2013,Action,Ubisoft,0.34,0.39,0.06,0.15,0.94
Destroy All Humans!,PS2,2005,Shooter,THQ,0.78,0.03,0,0.13,0.94
Skylanders: Spyro's Adventure,PS3,2011,Action,Activision,0.39,0.39,0,0.16,0.94
MVP Baseball 2005,XB,2005,Sports,Electronic Arts,0.7,0.2,0,0.03,0.94
SaGa Frontier 2,PS,1999,Role-Playing,SquareSoft,0.1,0.07,0.71,0.06,0.94
Phantasy Star Portable,PSP,2008,Role-Playing,Sega,0.19,0.06,0.63,0.05,0.94
WWE SmackDown vs. Raw 2009,PS3,2008,Fighting,THQ,0.51,0.3,0.01,0.12,0.94
NCAA Football 10,X360,2009,Sports,Electronic Arts,0.87,0,0,0.07,0.94
Brutal Legend,PS3,2009,Action,Electronic Arts,0.54,0.27,0,0.13,0.94
Tony Hawk: RIDE,Wii,2009,Sports,Activision,0.69,0.17,0,0.08,0.94
MLB 2000,PS,1999,Sports,Sony Computer Entertainment,0.52,0.35,0,0.06,0.94
Bully,PS2,2006,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94
Rise of the Tomb Raider,PS4,2016,Adventure,Square Enix,0.23,0.53,0.04,0.14,0.94
Prince of Persia: The Sands of Time,XB,2003,Action,Ubisoft,0.57,0.33,0,0.04,0.94
Hot Shots Golf Fore!,PS2,2003,Sports,Sony Computer Entertainment,0.46,0.36,0,0.12,0.94
MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment,0.78,0.03,0,0.13,0.94
NHL 2003,PS2,2002,Sports,Electronic Arts,0.46,0.36,0,0.12,0.93
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,0.32,0.32,0.15,0.15,0.93
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.29,0.49,0,0.15,0.93
The Sims 2,DS,2005,Simulation,Electronic Arts,0.81,0.05,0,0.07,0.93
Bentley's Hackpack,GBA,2005,Misc,N/A,0.67,0.25,0,0.02,0.93
Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision,0.59,0.3,0,0.04,0.93
Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.56,0.28,0,0.09,0.93
White Knight Chronicles: International Edition,PS3,2008,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93
SingStar Abba,PS3,2008,Misc,Sony Computer Entertainment,0.27,0.5,0,0.16,0.93
Crash City Mayhem,GBA,2004,Racing,THQ,0.67,0.25,0,0.02,0.93
Spider-Man,2600,1981,Action,Parker Bros.,0.87,0.05,0,0.01,0.93
Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.28,0.14,0.47,0.04,0.93
Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Platform,Activision,0.71,0.2,0,0.01,0.93
Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0,0.93
Mega Man 4,NES,1991,Platform,Capcom,0.51,0.09,0.32,0.01,0.93
Guitar Hero: Metallica,Wii,2009,Misc,Activision,0.4,0.43,0,0.1,0.93
Teenage Mutant Ninja Turtles,GBA,2003,Action,Unknown,0.67,0.25,0,0.02,0.93
Bayonetta,X360,2009,Action,Sega,0.51,0.25,0.09,0.08,0.93
MLB 07: The Show,PS2,2007,Sports,Sony Computer Entertainment,0.77,0.03,0,0.13,0.93
Cars,GC,2006,Racing,THQ,0.72,0.19,0,0.03,0.93
Build-A-Bear Workshop,DS,2007,Simulation,Game Factory,0.85,0.01,0,0.07,0.93
Kingdom Hearts Re:coded,DS,2010,Role-Playing,Square Enix,0.53,0.09,0.27,0.05,0.93
Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters,0.36,0.45,0.02,0.1,0.93
Inazuma Eleven 3,DS,2010,Role-Playing,Level 5,0,0,0.93,0,0.93
Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.4,0,0.15,0.93
Wipeout: In The Zone,X360,2011,Misc,Activision,0.87,0,0,0.06,0.93
SnoCross Championship Racing,PS,1999,Racing,Ubisoft,0.52,0.35,0,0.06,0.93
Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,0.44,0.34,0,0.15,0.93
The LEGO Movie Videogame,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.43,0.02,0.15,0.93
Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0,0.12,0.93
Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0,0.1,0.93
Teenage Mutant Ninja Turtles,PS2,2003,Action,Konami Digital Entertainment,0.45,0.35,0,0.12,0.92
Disney Magical World,3DS,2013,Adventure,Nintendo,0.17,0.2,0.53,0.03,0.92
Top Gun: Combat Zones,PS2,2001,Simulation,Titus,0.45,0.35,0,0.12,0.92
NCAA Football 11,X360,2010,Sports,Electronic Arts,0.86,0,0,0.06,0.92
007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92
Cars,Wii,2006,Racing,THQ,0.83,0.03,0,0.07,0.92
Monster High: Ghoul Spirit,DS,2011,Misc,THQ,0.69,0.16,0,0.07,0.92
Phoenix Wright: Ace Attorney,DS,2005,Adventure,Capcom,0.44,0.05,0.39,0.05,0.92
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.68,0.08,0,0.17,0.92
South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,0.43,0.34,0,0.16,0.92
South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.58,0.26,0,0.09,0.92
NHL 98,PS,1997,Sports,Electronic Arts,0.51,0.35,0,0.06,0.92
Space Jam,PS,1996,Sports,Acclaim Entertainment,0.51,0.35,0,0.06,0.92
Balloon Fight,NES,1985,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92
Knockout Kings 2000,N64,1999,Fighting,Electronic Arts,0.63,0.27,0,0.02,0.92
MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment,0.86,0,0,0.06,0.92
SpongeBob SquarePants: The Yellow Avenger,PSP,2006,Action,THQ,0.55,0.21,0,0.16,0.92
Dante's Inferno,X360,2010,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92
Wii Play: Motion,Wii,2011,Misc,Nintendo,0.23,0.42,0.18,0.09,0.92
WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ,0.58,0.26,0,0.08,0.92
Sonic Riders,GC,2006,Racing,Sega,0.71,0.18,0,0.03,0.92
Starsky & Hutch,PS2,2003,Racing,Empire Interactive,0.45,0.35,0,0.12,0.92
Tobal No.1,PS,1996,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92
Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,0.3,0.32,0.21,0.08,0.92
Buzz! Quiz World,PS3,2009,Misc,Sony Computer Entertainment,0.16,0.57,0,0.19,0.91
Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,0.41,0.17,0.3,0.05,0.91
Kung Fu Panda,Wii,2008,Action,Activision,0.5,0.32,0,0.09,0.91
Street Hoops,PS2,2002,Sports,Activision,0.45,0.35,0,0.12,0.91
EA Sports Grand Slam Tennis,Wii,2009,Sports,Electronic Arts,0.28,0.51,0.02,0.11,0.91
EA Sports Active 2,PS3,2010,Sports,Electronic Arts,0.52,0.27,0,0.12,0.91
Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive,0.76,0.09,0,0.06,0.91
Knockout Kings 2002,PS2,2002,Sports,Electronic Arts,0.45,0.35,0,0.12,0.91
Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.3,0,0.16,0.91
Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91
LEGO Harry Potter: Years 5-7,PS3,N/A,Action,Warner Bros. Interactive Entertainment,0.36,0.41,0,0.15,0.91
Tokyo Xtreme Racer 3,PS2,2003,Racing,Genki,0.35,0.27,0.21,0.09,0.91
Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.43,0.25,0.16,0.07,0.91
Assassin's Creed,PC,2008,Adventure,Ubisoft,0.01,0.83,0,0.07,0.91
Glover,N64,1998,Platform,Hasbro Interactive,0.72,0.17,0,0.01,0.91
Colin McRae Rally 2.0,PS,2000,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91
Dynasty Warriors 7,PS3,2011,Action,Tecmo Koei,0.25,0.13,0.46,0.06,0.91
NBA 2K14,XOne,2013,Sports,Take-Two Interactive,0.7,0.11,0,0.09,0.91
Namco Museum,XB,N/A,Misc,Unknown,0.77,0.11,0,0.04,0.91
SSX,PS3,2012,Sports,Electronic Arts,0.35,0.41,0.02,0.14,0.91
Sonic Riders: Zero Gravity,Wii,2008,Racing,Sega,0.48,0.32,0.02,0.09,0.91
AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,0.84,0,0,0.07,0.91
Super Momotarou Dentetsu III,SNES,1994,Simulation,Hudson Soft,0,0,0.91,0,0.91
Sonic Mega Collection Plus,XB,2004,Misc,Sega,0.61,0.26,0,0.04,0.91
Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.91
Tiger Woods PGA Tour 2002,PS2,2002,Sports,Electronic Arts,0.44,0.35,0,0.12,0.9
Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,0.45,0.26,0.11,0.08,0.9
Street Fighter V,PS4,2016,Fighting,Capcom,0.4,0.28,0.08,0.14,0.9
Just Cause 3,XOne,2015,Action,Square Enix,0.44,0.39,0,0.08,0.9
Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996,Racing,ASCII Entertainment,0,0,0.9,0,0.9
MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,0.44,0.35,0,0.12,0.9
Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision,0.68,0.15,0,0.08,0.9
Burnout Revenge,PS2,2005,Racing,Electronic Arts,0.75,0.03,0,0.12,0.9
Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.31,0.01,0.08,0.9
Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.37,0,0.08,0.9
The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,0.48,0.32,0.02,0.08,0.9
Homefront,PS3,2011,Shooter,THQ,0.32,0.39,0.04,0.15,0.9
Destruction Derby,PS,1995,Racing,Psygnosis,0.5,0.34,0,0.06,0.9
LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.02,0.14,0.9
Avatar: The Game,PS3,2009,Action,Ubisoft,0.32,0.42,0,0.16,0.9
The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,0.32,0.51,0,0.07,0.9
3Xtreme,PS,1999,Action,989 Studios,0.5,0.34,0,0.06,0.9
Hot Shots Tennis,PS2,2006,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9
MX vs. ATV Reflex,PS3,2009,Racing,THQ,0.52,0.25,0,0.12,0.9
Madden NFL 25,PS4,2013,Sports,Electronic Arts,0.63,0.13,0,0.15,0.9
Sonic Heroes,XB,2003,Platform,Sega,0.41,0.43,0.01,0.05,0.9
Madden NFL 99,N64,1998,Sports,Electronic Arts,0.84,0.05,0,0.01,0.9
Spider-Man 3,PS2,2007,Platform,Activision,0.74,0.03,0.01,0.12,0.9
James Bond 007: Agent Under Fire,XB,2002,Shooter,Electronic Arts,0.65,0.22,0,0.03,0.9
LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,Disney Interactive Studios,0.34,0.46,0,0.1,0.9
LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.9
DJ Hero,PS3,2009,Misc,Activision,0.42,0.34,0,0.14,0.9
Skylanders: Trap Team,X360,2014,Action,Activision,0.54,0.27,0,0.08,0.9
X-Men Legends,XB,2004,Role-Playing,Activision,0.62,0.24,0,0.04,0.9
NBA Live 2005,XB,2004,Sports,Electronic Arts,0.81,0.05,0,0.04,0.9
Harry Potter: Quidditch World Cup,PS2,2003,Sports,Electronic Arts,0.44,0.34,0,0.11,0.9
LEGO The Lord of the Rings,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.48,0.34,0,0.07,0.9
Madagascar,GBA,2005,Platform,Activision,0.62,0.24,0,0.03,0.89
Blitz: The League,PS2,2005,Sports,Unknown,0.74,0.03,0,0.12,0.89
The Biggest Loser: Ultimate Workout,X360,2010,Sports,THQ,0.73,0.1,0,0.06,0.89
Castlevania: Circle of the Moon,GBA,2001,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89
SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,0.66,0.11,0.04,0.08,0.89
Tiger Woods PGA Tour 06,PS2,2005,Sports,Electronic Arts,0.74,0.03,0,0.12,0.89
FIFA Street,X360,2012,Sports,Electronic Arts,0.17,0.62,0,0.1,0.89
Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89
Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89
Cars 2,Wii,2011,Racing,Disney Interactive Studios,0.43,0.37,0,0.09,0.89
TouchMaster 2,DS,2008,Puzzle,Midway Games,0.3,0.49,0,0.1,0.89
Pokemon Card GB2: Here Comes Team GR!,GB,2001,Strategy,Nintendo,0,0,0.89,0,0.89
MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment,0.72,0,0,0.17,0.89
Killzone: Liberation,PSP,2006,Shooter,Sony Computer Entertainment,0.44,0.27,0,0.18,0.89
Finding Nemo,GC,2003,Action,THQ,0.69,0.18,0,0.02,0.89
Lego Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment,0.48,0.33,0,0.08,0.89
Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89
NFL 2K2,PS2,2001,Sports,Sega,0.44,0.34,0,0.11,0.89
Pure,PS3,2008,Racing,Disney Interactive Studios,0.42,0.33,0,0.14,0.89
We Ski & Snowboard,Wii,2008,Sports,Atari,0.38,0.29,0.15,0.08,0.89
Resistance: Retribution,PSP,2009,Shooter,Sony Computer Entertainment,0.27,0.35,0.05,0.21,0.89
Call of Duty: World at War,DS,2008,Shooter,Activision,0.56,0.25,0,0.08,0.89
Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts,0.52,0.25,0,0.11,0.89
CSI: Hard Evidence,Wii,2008,Adventure,Ubisoft,0.36,0.43,0,0.1,0.89
MLB 2001,PS,2000,Sports,Sony Computer Entertainment,0.49,0.34,0,0.06,0.89
The Jak and Daxter Collection,PS3,2012,Platform,Sony Computer Entertainment,0.6,0.18,0,0.11,0.89
FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.28,0.51,0,0.09,0.89
SingStar Anthems,PS2,2006,Misc,Sony Computer Entertainment,0,0.68,0,0.2,0.89
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,Activision,0.47,0.29,0,0.13,0.89
Seiken Densetsu 3,SNES,1995,Role-Playing,SquareSoft,0,0,0.89,0,0.89
Fossil Fighters,DS,2008,Role-Playing,Nintendo,0.83,0,0,0.06,0.89
Buzz! Quiz TV,PS3,2008,Misc,Sony Computer Entertainment,0.28,0.47,0,0.13,0.89
NCAA Football 13,PS3,2012,Action,Electronic Arts,0.82,0,0,0.07,0.89
Samba De Amigo,Wii,2008,Misc,Sega,0.41,0.37,0.01,0.09,0.88
Mega Man 8 Anniversary Collector's Edition,PS,1996,Platform,Capcom,0.44,0.3,0.09,0.06,0.88
The Simpsons Game,PS3,2007,Action,Electronic Arts,0.38,0.36,0,0.15,0.88
Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision,0.01,0.79,0,0.09,0.88
The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,0.27,0.46,0,0.15,0.88
F1 2010,X360,2010,Racing,Codemasters,0.18,0.59,0.01,0.1,0.88
Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft,0.35,0.37,0.01,0.15,0.88
Minecraft: Story Mode,X360,2015,Adventure,Mojang,0.48,0.33,0,0.08,0.88
Rhythm Heaven,Wii,N/A,Misc,Unknown,0.11,0,0.77,0.01,0.88
NBA 2K6,PS2,2005,Action,Take-Two Interactive,0.43,0.34,0,0.11,0.88
Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix,0.21,0.12,0.46,0.08,0.88
Buzz! The Mega Quiz,PS2,2007,Misc,Sony Computer Entertainment,0.32,0.06,0,0.5,0.88
Star Wars: Rebel Assault II - The Hidden Empire,PS,1996,Shooter,CTO SpA,0.49,0.33,0,0.06,0.88
Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.8,0,0.01,0.07,0.88
Far Cry: Primal,XOne,2016,Action,Ubisoft,0.47,0.33,0,0.08,0.88
Resident Evil: Revelations,3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88
Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,Sega,0.5,0.29,0.01,0.08,0.88
Star Wars: The Force Unleashed,DS,2008,Action,LucasArts,0.5,0.28,0,0.09,0.88
Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0,0.07,0.88
Rock Band 3,X360,2010,Misc,MTV Games,0.73,0.09,0,0.06,0.88
WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.44,0.35,0,0.08,0.88
ESPN NHL 2K5,PS2,2004,Sports,Global Star,0.43,0.33,0,0.11,0.88
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.14,0.88
Crimson Skies: High Road to Revenge,XB,2003,Simulation,Microsoft Game Studios,0.65,0.19,0,0.03,0.87
Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.8,0,0,0.07,0.87
Spec Ops: Ranger Elite,PS,2001,Shooter,TalonSoft,0.49,0.33,0,0.06,0.87
Gex,PS,1995,Platform,Crystal Dynamics,0.49,0.33,0,0.06,0.87
F1 2009,Wii,2009,Racing,Codemasters,0.15,0.62,0,0.11,0.87
Derby Stallion II,SNES,1994,Sports,ASCII Entertainment,0,0,0.87,0,0.87
Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,Ubisoft,0.61,0.24,0,0.03,0.87
Sleeping Dogs,X360,2012,Action,Square Enix ,0.38,0.4,0.01,0.08,0.87
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.24,0.01,0.07,0.87
Metal Gear Ac!d,PSP,2004,Strategy,Konami Digital Entertainment,0.32,0.26,0.12,0.17,0.87
Need for Speed: V-Rally,PS,1997,Racing,Infogrames,0.43,0.29,0.09,0.06,0.87
Monster Strike 3DS,3DS,2015,Action,"mixi, Inc",0,0,0.87,0,0.87
Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0,0.12,0.87
Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.87
Peppa Pig: The Game,DS,2008,Misc,Pinnacle,0,0.81,0,0.06,0.87
Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.62,0.18,0,0.07,0.87
NFL GameDay '97,PS,1996,Sports,Sony Computer Entertainment,0.48,0.33,0,0.06,0.87
LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,0.42,0.3,0.01,0.15,0.87
Tony Hawk's Project 8,PS2,2006,Sports,Activision,0.72,0.03,0,0.12,0.87
NHL 2000,PS,1998,Sports,Electronic Arts,0.48,0.33,0,0.06,0.87
GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.87
DiRT,X360,2007,Racing,Codemasters,0.38,0.4,0,0.09,0.87
Buzz! Master Quiz,PSP,2008,Misc,Sony Computer Entertainment,0.2,0.44,0,0.23,0.87
Red Faction: Guerrilla,X360,2009,Shooter,THQ,0.48,0.29,0.01,0.09,0.87
Fight Night Round 2,PS2,2005,Fighting,Electronic Arts,0.72,0.03,0,0.12,0.87
Conflict: Desert Storm,XB,2002,Shooter,SCi,0.48,0.37,0,0.02,0.87
LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.32,0,0.08,0.87
Triple Play 2002,PS2,2002,Sports,Electronic Arts,0.43,0.33,0,0.11,0.87
Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.27,0.01,0.08,0.87
Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.47,0.3,0,0.09,0.87
Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87
Warriors Orochi,PS2,2007,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87
Enduro,2600,1982,Misc,Quelle,0.81,0.05,0,0.01,0.87
Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.42,0.03,0.16,0.87
Mercenaries 2: World in Flames,PS3,2008,Shooter,Electronic Arts,0.29,0.39,0.02,0.16,0.87
SingStar '90s,PS2,2007,Misc,Sony Computer Entertainment,0.1,0.59,0,0.18,0.87
Wizards of Waverly Place,DS,2009,Misc,Disney Interactive Studios,0.59,0.2,0,0.08,0.86
Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.59,0.2,0,0.07,0.86
Dragon Quest VIII: Journey of the Cursed King,3DS,2015,Role-Playing,Square Enix,0,0,0.86,0,0.86
Beijing 2008,PS3,2008,Sports,Sega,0.14,0.54,0.01,0.18,0.86
Guitar Hero Live,PS4,2015,Misc,Activision,0.34,0.38,0,0.14,0.86
Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo,0.46,0.21,0.12,0.06,0.86
Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,Konami Digital Entertainment,0.01,0.72,0.12,0.01,0.86
Rocky,PS2,2002,Fighting,Rage Software,0.42,0.33,0,0.11,0.86
Ford Racing,PS,2001,Racing,Empire Interactive,0.48,0.33,0,0.06,0.86
Madden Football 64,N64,1997,Sports,Electronic Arts,0.81,0.04,0,0.01,0.86
Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,0.47,0.31,0,0.08,0.86
MLB 99,PS,1998,Sports,Sony Computer Entertainment,0.48,0.32,0,0.06,0.86
Lemmings,PSP,2006,Puzzle,Sony Computer Entertainment,0.12,0.51,0,0.23,0.86
Dynasty Warriors 4: Xtreme Legends,PS2,2003,Action,Tecmo Koei,0.17,0.13,0.51,0.04,0.86
Pictionary,Wii,2010,Puzzle,THQ,0.6,0.19,0,0.07,0.85
Army Men: Air Attack,PS,1999,Action,3DO,0.47,0.32,0,0.06,0.85
FIFA Soccer 08,DS,2007,Sports,Electronic Arts,0.1,0.65,0,0.11,0.85
2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85
Tomb Raider: Anniversary,Wii,2007,Action,Eidos Interactive,0.12,0.62,0,0.11,0.85
NBA 2K8,X360,2007,Sports,Take-Two Interactive,0.79,0,0,0.07,0.85
Street Fighter Alpha 2,PS,1996,Fighting,Virgin Interactive,0.14,0.09,0.57,0.06,0.85
Tiger Woods PGA Tour 2005,XB,2004,Sports,Electronic Arts,0.64,0.18,0,0.03,0.85
Castlevania III: Dracula's Curse,NES,1989,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85
LEGO Jurassic World,PS3,2015,Action,Warner Bros. Interactive Entertainment,0.35,0.36,0,0.14,0.85
Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,0.37,0.29,0.09,0.11,0.85
Rampage World Tour,PS,1997,Action,GT Interactive,0.47,0.32,0,0.06,0.85
Dragon Ball Z: Burst Limit,PS3,2008,Fighting,Atari,0.22,0.33,0.18,0.12,0.85
Gold's Gym: Dance Workout,Wii,2010,Sports,Ubisoft,0.69,0.1,0,0.06,0.85
Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games,0.28,0.31,0.13,0.13,0.85
Ninja Gaiden Sigma 2,PS3,2009,Action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.85
Ratatouille,PS2,2007,Action,THQ,0.31,0,0,0.53,0.85
NFL GameDay,PS,1995,Sports,Sony Computer Entertainment,0.47,0.32,0,0.06,0.85
Burnout 2: Point of Impact,PS2,2002,Racing,Acclaim Entertainment,0.42,0.32,0,0.11,0.85
Wii Fit U,WiiU,2013,Sports,Nintendo,0.35,0.23,0.21,0.05,0.85
Street Fighter EX3,PS2,2000,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85
